1,1,0.106324
1,2,0.051464
1,3,0.053198
2,1,0.036050
2,2,0.025947
2,3,0.022414
3,1,0.046497
3,2,0.043308
3,3,0.040334
4,1,0.058011
4,2,0.061447
4,3,0.060222
5,1,0.032376
5,2,0.028951
5,3,0.031018
6,1,0.049382
6,2,0.049673
6,3,0.047899
7,1,0.019393
7,2,0.016251
7,3,0.016266
8,1,0.056685
8,2,0.047027
8,3,0.049698
9,1,0.112440
9,2,0.107612
9,3,0.110501
10,1,0.074987
10,2,0.070639
10,3,0.066872
11,1,0.098748
11,2,0.104028
11,3,0.094105
12,1,0.055420
12,2,0.047223
12,3,0.043860
13,1,0.119312
13,2,0.119949
13,3,0.115604
14,1,0.022969
14,2,0.018038
14,3,0.016622
15,1,0.047931
15,2,0.036976
15,3,0.040864
16,1,0.050945
16,2,0.041600
16,3,0.045488
17,1,0.033656
17,2,0.028452
17,3,0.030065
18,1,0.082311
18,2,0.073009
18,3,0.080923
19,1,0.025100
19,2,0.023341
19,3,0.025702
20,1,0.068388
20,2,0.059201
20,3,0.062503
21,1,0.121656
21,2,0.122552
21,3,0.119382
22,1,0.123660
22,2,0.119517
22,3,0.119252
1,1,2.593109
1,2,2.269310
1,3,2.202941
2,1,0.411384
2,2,0.382449
2,3,0.388300
3,1,1.579334
3,2,1.829350
3,3,1.736750
4,1,16.583428
4,2,0.000186
4,3,0.000190
5,1,0.000164
5,2,0.000142
5,3,0.000136
6,1,0.000151
6,2,0.000142
6,3,0.000138
7,1,0.000176
7,2,0.000134
7,3,0.000141
8,1,0.000145
8,2,0.000136
8,3,0.000162
9,1,0.000159
9,2,0.000139
9,3,0.000130
10,1,0.000177
10,2,0.000140
10,3,0.000139
11,1,0.000156
11,2,0.000140
11,3,0.000169
12,1,0.000156
12,2,0.000137
12,3,0.000135
13,1,0.000148
13,2,0.000131
13,3,0.000130
14,1,0.000152
14,2,0.000138
14,3,0.000137
15,1,0.000154
15,2,0.000141
15,3,0.000166
16,1,0.000145
16,2,0.000129
16,3,0.000132
17,1,0.000158
17,2,0.000182
17,3,0.000144
18,1,0.000160
18,2,0.000136
18,3,0.000138
19,1,0.000170
19,2,0.000159
19,3,0.000141
20,1,0.000180
20,2,0.000145
20,3,0.000183
21,1,0.000143
21,2,0.000134
21,3,0.000132
22,1,0.000161
22,2,0.000126
22,3,0.000146
1,1,3.221148
1,2,2.839428
1,3,2.676354
2,1,0.238433
2,2,0.187616
2,3,0.177162
3,1,1.621822
3,2,1.768823
3,3,1.919004
4,1,14.136848
4,2,0.000214
4,3,0.000144
5,1,0.000165
5,2,0.000133
5,3,0.000134
6,1,0.000162
6,2,0.000138
6,3,0.000177
7,1,0.000178
7,2,0.000124
7,3,0.000143
8,1,0.000155
8,2,0.000131
8,3,0.000139
9,1,0.000172
9,2,0.000106
9,3,0.000152
10,1,0.000139
10,2,0.000130
10,3,0.000144
11,1,0.000150
11,2,0.000134
11,3,0.000137
12,1,0.000154
12,2,0.000135
12,3,0.000147
13,1,0.000175
13,2,0.000105
13,3,0.000148
14,1,0.000162
14,2,0.000133
14,3,0.000151
15,1,0.000153
15,2,0.000135
15,3,0.000149
16,1,0.000173
16,2,0.000173
16,3,0.000136
17,1,0.000162
17,2,0.000143
17,3,0.000139
18,1,0.000164
18,2,0.000136
18,3,0.000135
19,1,0.000175
19,2,0.000142
19,3,0.000151
20,1,0.000144
20,2,0.000142
20,3,0.000148
21,1,0.000148
21,2,0.000106
21,3,0.000150
22,1,0.000153
22,2,0.000140
22,3,0.000150
1,1,3.163396
1,2,2.751129
1,3,2.648703
2,1,0.217522
2,2,0.178491
2,3,0.178768
3,1,1.598594
3,2,1.907134
3,3,1.758430
4,1,13.930101
4,2,0.000175
4,3,0.000173
5,1,0.000175
5,2,0.000145
5,3,0.000141
6,1,0.000167
6,2,0.000137
6,3,0.000138
7,1,0.000176
7,2,0.000143
7,3,0.000141
8,1,0.000159
8,2,0.000140
8,3,0.000132
9,1,0.000153
9,2,0.000137
9,3,0.000173
10,1,0.000143
10,2,0.000138
10,3,0.000155
11,1,0.000154
11,2,0.000136
11,3,0.000167
12,1,0.000172
12,2,0.000135
